   redshift            theoretical_distance
   0.00010002000      0.85676704
   0.00030006001       1.7137997
   0.00050010002       2.5710978
   0.00070014003       3.4286615
   0.00090018004       4.2864905
    0.0011002200       5.1445849
    0.0013002601       6.0029446
    0.0015003001       6.8615696
    0.0017003401       7.7204598
    0.0019003801       8.5796151
    0.0021004201       9.4390355
    0.0023004601       10.298721
    0.0025005001       11.158671
    0.0027005401       12.018887
    0.0029005801       12.879367
    0.0031006201       13.740112
    0.0033006601       14.601121
    0.0035007001       15.462396
    0.0037007401       16.323935
    0.0039007802       17.185738
    0.0041008202       18.047806
    0.0043008602       18.910139
    0.0045009002       19.772736
    0.0047009402       20.635597
    0.0049009802       21.498723
    0.0051010202       22.362113
    0.0053010602       23.225767
    0.0055011002       24.089685
    0.0057011402       24.953867
    0.0059011802       25.818313
    0.0061012202       26.683023
    0.0063012603       27.547998
    0.0065013003       28.413235
    0.0067013403       29.278737
    0.0069013803       30.144503
    0.0071014203       31.010532
    0.0073014603       31.876824
    0.0075015003       32.743381
    0.0077015403       33.610201
    0.0079015803       34.477284
    0.0081016203       35.344630
    0.0083016603       36.212240
    0.0085017003       37.080114
    0.0087017403       37.948250
    0.0089017804       38.816650
    0.0091018204       39.685313
    0.0093018604       40.554238
    0.0095019004       41.423427
    0.0097019404       42.292879
    0.0099019804       43.162594
     0.010102020       44.032571
     0.010302060       44.902811
     0.010502100       45.773314
     0.010702140       46.644080
     0.010902180       47.515108
     0.011102220       48.386399
     0.011302260       49.257952
     0.011502300       50.129768
     0.011702340       51.001846
     0.011902380       51.874187
     0.012102420       52.746789
     0.012302460       53.619654
     0.012502501       54.492781
     0.012702541       55.366170
     0.012902581       56.239822
     0.013102621       57.113735
     0.013302661       57.987910
     0.013502701       58.862347
     0.013702741       59.737046
     0.013902781       60.612006
     0.014102821       61.487229
     0.014302861       62.362713
     0.014502901       63.238458
     0.014702941       64.114465
     0.014902981       64.990734
     0.015103021       65.867264
     0.015303061       66.744055
     0.015503101       67.621108
     0.015703141       68.498422
     0.015903181       69.375997
     0.016103221       70.253833
     0.016303261       71.131930
     0.016503301       72.010289
     0.016703341       72.888908
     0.016903381       73.767788
     0.017103421       74.646929
     0.017303461       75.526331
     0.017503501       76.405994
     0.017703541       77.285918
     0.017903581       78.166102
     0.018103621       79.046546
     0.018303661       79.927251
     0.018503701       80.808217
     0.018703741       81.689443
     0.018903781       82.570929
     0.019103821       83.452676
     0.019303861       84.334683
     0.019503901       85.216950
     0.019703941       86.099477
     0.019903981       86.982265
     0.020104021       87.865312
     0.020304061       88.748619
     0.020504101       89.632187
     0.020704141       90.516014
     0.020904181       91.400101
     0.021104221       92.284447
     0.021304261       93.169054
     0.021504301       94.053920
     0.021704341       94.939045
     0.021904381       95.824430
     0.022104421       96.710075
     0.022304461       97.595979
     0.022504501       98.482142
     0.022704541       99.368564
     0.022904581       100.25525
     0.023104621       101.14219
     0.023304661       102.02939
     0.023504701       102.91685
     0.023704741       103.80456
     0.023904781       104.69254
     0.024104821       105.58078
     0.024304861       106.46927
     0.024504901       107.35803
     0.024704941       108.24704
     0.024904981       109.13631
     0.025105021       110.02584
     0.025305061       110.91563
     0.025505101       111.80567
     0.025705141       112.69598
     0.025905181       113.58654
     0.026105221       114.47737
     0.026305261       115.36845
     0.026505301       116.25978
     0.026705341       117.15138
     0.026905381       118.04324
     0.027105421       118.93535
     0.027305461       119.82772
     0.027505501       120.72035
     0.027705541       121.61323
     0.027905581       122.50638
     0.028105621       123.39978
     0.028305661       124.29344
     0.028505701       125.18736
     0.028705741       126.08153
     0.028905781       126.97597
     0.029105821       127.87066
     0.029305861       128.76560
     0.029505901       129.66081
     0.029705941       130.55627
     0.029905981       131.45199
     0.030106021       132.34797
     0.030306061       133.24420
     0.030506101       134.14069
     0.030706141       135.03744
     0.030906181       135.93445
     0.031106221       136.83171
     0.031306261       137.72923
     0.031506301       138.62701
     0.031706341       139.52504
     0.031906381       140.42333
     0.032106421       141.32187
     0.032306461       142.22068
     0.032506501       143.11974
     0.032706541       144.01905
     0.032906581       144.91862
     0.033106621       145.81845
     0.033306661       146.71854
     0.033506701       147.61888
     0.033706741       148.51947
     0.033906781       149.42033
     0.034106821       150.32144
     0.034306861       151.22280
     0.034506901       152.12443
     0.034706941       153.02630
     0.034906981       153.92844
     0.035107021       154.83083
     0.035307061       155.73347
     0.035507101       156.63637
     0.035707141       157.53953
     0.035907181       158.44294
     0.036107221       159.34661
     0.036307261       160.25053
     0.036507301       161.15471
     0.036707341       162.05914
     0.036907381       162.96383
     0.037107421       163.86878
     0.037307461       164.77398
     0.037507502       165.67943
     0.037707542       166.58514
     0.037907582       167.49110
     0.038107622       168.39732
     0.038307662       169.30380
     0.038507702       170.21053
     0.038707742       171.11751
     0.038907782       172.02475
     0.039107822       172.93225
     0.039307862       173.84000
     0.039507902       174.74800
     0.039707942       175.65626
     0.039907982       176.56477
     0.040108022       177.47353
     0.040308062       178.38256
     0.040508102       179.29183
     0.040708142       180.20136
     0.040908182       181.11114
     0.041108222       182.02118
     0.041308262       182.93147
     0.041508302       183.84202
     0.041708342       184.75282
     0.041908382       185.66387
     0.042108422       186.57518
     0.042308462       187.48674
     0.042508502       188.39856
     0.042708542       189.31063
     0.042908582       190.22295
     0.043108622       191.13553
     0.043308662       192.04836
     0.043508702       192.96144
     0.043708742       193.87478
     0.043908782       194.78837
     0.044108822       195.70221
     0.044308862       196.61631
     0.044508902       197.53066
     0.044708942       198.44526
     0.044908982       199.36012
     0.045109022       200.27522
     0.045309062       201.19059
     0.045509102       202.10620
     0.045709142       203.02207
     0.045909182       203.93819
     0.046109222       204.85456
     0.046309262       205.77119
     0.046509302       206.68807
     0.046709342       207.60520
     0.046909382       208.52258
     0.047109422       209.44022
     0.047309462       210.35811
     0.047509502       211.27625
     0.047709542       212.19464
     0.047909582       213.11329
     0.048109622       214.03219
     0.048309662       214.95134
     0.048509702       215.87074
     0.048709742       216.79039
     0.048909782       217.71030
     0.049109822       218.63046
     0.049309862       219.55086
     0.049509902       220.47153
     0.049709942       221.39244
     0.049909982       222.31360
     0.050110022       223.23502
     0.050310062       224.15669
     0.050510102       225.07861
     0.050710142       226.00078
     0.050910182       226.92320
     0.051110222       227.84588
     0.051310262       228.76880
     0.051510302       229.69198
     0.051710342       230.61541
     0.051910382       231.53909
     0.052110422       232.46302
     0.052310462       233.38720
     0.052510502       234.31163
     0.052710542       235.23631
     0.052910582       236.16124
     0.053110622       237.08643
     0.053310662       238.01186
     0.053510702       238.93755
     0.053710742       239.86349
     0.053910782       240.78967
     0.054110822       241.71611
     0.054310862       242.64280
     0.054510902       243.56974
     0.054710942       244.49693
     0.054910982       245.42437
     0.055111022       246.35206
     0.055311062       247.28000
     0.055511102       248.20819
     0.055711142       249.13663
     0.055911182       250.06532
     0.056111222       250.99426
     0.056311262       251.92344
     0.056511302       252.85288
     0.056711342       253.78257
     0.056911382       254.71251
     0.057111422       255.64270
     0.057311462       256.57314
     0.057511502       257.50383
     0.057711542       258.43477
     0.057911582       259.36595
     0.058111622       260.29739
     0.058311662       261.22908
     0.058511702       262.16101
     0.058711742       263.09319
     0.058911782       264.02563
     0.059111822       264.95831
     0.059311862       265.89124
     0.059511902       266.82442
     0.059711942       267.75785
     0.059911982       268.69153
     0.060112022       269.62546
     0.060312062       270.55964
     0.060512102       271.49406
     0.060712142       272.42873
     0.060912182       273.36366
     0.061112222       274.29883
     0.061312262       275.23425
     0.061512302       276.16992
     0.061712342       277.10583
     0.061912382       278.04200
     0.062112422       278.97841
     0.062312462       279.91507
     0.062512503       280.85198
     0.062712543       281.78914
     0.062912583       282.72654
     0.063112623       283.66420
     0.063312663       284.60210
     0.063512703       285.54025
     0.063712743       286.47865
     0.063912783       287.41729
     0.064112823       288.35618
     0.064312863       289.29533
     0.064512903       290.23471
     0.064712943       291.17435
     0.064912983       292.11423
     0.065113023       293.05436
     0.065313063       293.99474
     0.065513103       294.93537
     0.065713143       295.87624
     0.065913183       296.81736
     0.066113223       297.75873
     0.066313263       298.70034
     0.066513303       299.64221
     0.066713343       300.58431
     0.066913383       301.52667
     0.067113423       302.46927
     0.067313463       303.41212
     0.067513503       304.35522
     0.067713543       305.29856
     0.067913583       306.24215
     0.068113623       307.18599
     0.068313663       308.13007
     0.068513703       309.07440
     0.068713743       310.01898
     0.068913783       310.96380
     0.069113823       311.90887
     0.069313863       312.85418
     0.069513903       313.79974
     0.069713943       314.74555
     0.069913983       315.69160
     0.070114023       316.63790
     0.070314063       317.58445
     0.070514103       318.53124
     0.070714143       319.47828
     0.070914183       320.42556
     0.071114223       321.37309
     0.071314263       322.32087
     0.071514303       323.26889
     0.071714343       324.21715
     0.071914383       325.16567
     0.072114423       326.11442
     0.072314463       327.06343
     0.072514503       328.01268
     0.072714543       328.96217
     0.072914583       329.91191
     0.073114623       330.86189
     0.073314663       331.81212
     0.073514703       332.76260
     0.073714743       333.71332
     0.073914783       334.66428
     0.074114823       335.61549
     0.074314863       336.56695
     0.074514903       337.51865
     0.074714943       338.47059
     0.074914983       339.42278
     0.075115023       340.37522
     0.075315063       341.32789
     0.075515103       342.28082
     0.075715143       343.23398
     0.075915183       344.18740
     0.076115223       345.14105
     0.076315263       346.09495
     0.076515303       347.04910
     0.076715343       348.00349
     0.076915383       348.95812
     0.077115423       349.91300
     0.077315463       350.86812
     0.077515503       351.82349
     0.077715543       352.77910
     0.077915583       353.73495
     0.078115623       354.69105
     0.078315663       355.64739
     0.078515703       356.60398
     0.078715743       357.56081
     0.078915783       358.51788
     0.079115823       359.47520
     0.079315863       360.43276
     0.079515903       361.39056
     0.079715943       362.34861
     0.079915983       363.30690
     0.080116023       364.26543
     0.080316063       365.22421
     0.080516103       366.18323
     0.080716143       367.14250
     0.080916183       368.10200
     0.081116223       369.06175
     0.081316263       370.02174
     0.081516303       370.98198
     0.081716343       371.94246
     0.081916383       372.90318
     0.082116423       373.86414
     0.082316463       374.82535
     0.082516503       375.78680
     0.082716543       376.74849
     0.082916583       377.71043
     0.083116623       378.67260
     0.083316663       379.63502
     0.083516703       380.59769
     0.083716743       381.56059
     0.083916783       382.52374
     0.084116823       383.48713
     0.084316863       384.45076
     0.084516903       385.41463
     0.084716943       386.37875
     0.084916983       387.34310
     0.085117023       388.30770
     0.085317063       389.27254
     0.085517103       390.23763
     0.085717143       391.20295
     0.085917183       392.16852
     0.086117223       393.13433
     0.086317263       394.10038
     0.086517303       395.06667
     0.086717343       396.03320
     0.086917383       396.99997
     0.087117423       397.96699
     0.087317463       398.93425
     0.087517504       399.90175
     0.087717544       400.86949
     0.087917584       401.83747
     0.088117624       402.80569
     0.088317664       403.77415
     0.088517704       404.74286
     0.088717744       405.71180
     0.088917784       406.68099
     0.089117824       407.65041
     0.089317864       408.62008
     0.089517904       409.58999
     0.089717944       410.56014
     0.089917984       411.53053
     0.090118024       412.50116
     0.090318064       413.47203
     0.090518104       414.44314
     0.090718144       415.41449
     0.090918184       416.38609
     0.091118224       417.35792
     0.091318264       418.32999
     0.091518304       419.30230
     0.091718344       420.27486
     0.091918384       421.24765
     0.092118424       422.22068
     0.092318464       423.19396
     0.092518504       424.16747
     0.092718544       425.14122
     0.092918584       426.11521
     0.093118624       427.08945
     0.093318664       428.06392
     0.093518704       429.03863
     0.093718744       430.01358
     0.093918784       430.98877
     0.094118824       431.96420
     0.094318864       432.93987
     0.094518904       433.91578
     0.094718944       434.89193
     0.094918984       435.86832
     0.095119024       436.84495
     0.095319064       437.82181
     0.095519104       438.79892
     0.095719144       439.77626
     0.095919184       440.75385
     0.096119224       441.73167
     0.096319264       442.70973
     0.096519304       443.68803
     0.096719344       444.66657
     0.096919384       445.64535
     0.097119424       446.62437
     0.097319464       447.60362
     0.097519504       448.58311
     0.097719544       449.56285
     0.097919584       450.54282
     0.098119624       451.52303
     0.098319664       452.50347
     0.098519704       453.48416
     0.098719744       454.46508
     0.098919784       455.44624
     0.099119824       456.42764
     0.099319864       457.40928
     0.099519904       458.39116
     0.099719944       459.37327
     0.099919984       460.35563
      0.10012002       461.33822
      0.10032006       462.32104
      0.10052010       463.30411
      0.10072014       464.28741
      0.10092018       465.27095
      0.10112022       466.25473
      0.10132026       467.23875
      0.10152030       468.22300
      0.10172034       469.20749
      0.10192038       470.19222
      0.10212042       471.17718
      0.10232046       472.16239
      0.10252050       473.14783
      0.10272054       474.13350
      0.10292058       475.11942
      0.10312062       476.10557
      0.10332066       477.09196
      0.10352070       478.07858
      0.10372074       479.06545
      0.10392078       480.05254
      0.10412082       481.03988
      0.10432086       482.02745
      0.10452090       483.01526
      0.10472094       484.00331
      0.10492098       484.99159
      0.10512102       485.98011
      0.10532106       486.96886
      0.10552110       487.95785
      0.10572114       488.94708
      0.10592118       489.93655
      0.10612122       490.92625
      0.10632126       491.91618
      0.10652130       492.90635
      0.10672134       493.89676
      0.10692138       494.88741
      0.10712142       495.87829
      0.10732146       496.86940
      0.10752150       497.86076
      0.10772154       498.85235
      0.10792158       499.84417
      0.10812162       500.83623
      0.10832166       501.82852
      0.10852170       502.82105
      0.10872174       503.81382
      0.10892178       504.80682
      0.10912182       505.80006
      0.10932186       506.79353
      0.10952190       507.78724
      0.10972194       508.78118
      0.10992198       509.77536
      0.11012202       510.76977
      0.11032206       511.76442
      0.11052210       512.75931
      0.11072214       513.75442
      0.11092218       514.74978
      0.11112222       515.74537
      0.11132226       516.74119
      0.11152230       517.73725
      0.11172234       518.73354
      0.11192238       519.73007
      0.11212242       520.72683
      0.11232246       521.72382
      0.11252250       522.72105
      0.11272254       523.71852
      0.11292258       524.71622
      0.11312262       525.71415
      0.11332266       526.71232
      0.11352270       527.71072
      0.11372274       528.70936
      0.11392278       529.70823
      0.11412282       530.70733
      0.11432286       531.70667
      0.11452290       532.70625
      0.11472294       533.70605
      0.11492298       534.70609
      0.11512302       535.70637
      0.11532306       536.70687
      0.11552310       537.70762
      0.11572314       538.70859
      0.11592318       539.70980
      0.11612322       540.71124
      0.11632326       541.71292
      0.11652330       542.71483
      0.11672334       543.71697
      0.11692338       544.71935
      0.11712342       545.72195
      0.11732346       546.72480
      0.11752350       547.72787
      0.11772354       548.73118
      0.11792358       549.73472
      0.11812362       550.73850
      0.11832366       551.74250
      0.11852370       552.74674
      0.11872374       553.75122
      0.11892378       554.75592
      0.11912382       555.76086
      0.11932386       556.76603
      0.11952390       557.77143
      0.11972394       558.77707
      0.11992398       559.78294
      0.12012402       560.78904
      0.12032406       561.79537
      0.12052410       562.80194
      0.12072414       563.80874
